time,pm2_5,pm10,nitrogen_dioxide,ozone,country,latitude,longitude
2025-11-06 00:00:00,9.7,11.6,6.0,45.0,Albania,41.3275,19.8189
2025-11-06 01:00:00,9.8,11.7,5.5,44.0,Albania,41.3275,19.8189
2025-11-06 02:00:00,10.3,11.8,5.2,43.0,Albania,41.3275,19.8189
2025-11-06 03:00:00,10.0,11.8,4.9,44.0,Albania,41.3275,19.8189
2025-11-06 04:00:00,10.2,12.1,4.8,43.0,Albania,41.3275,19.8189
2025-11-06 05:00:00,10.6,12.5,6.8,38.0,Albania,41.3275,19.8189
2025-11-06 06:00:00,11.4,13.9,13.1,35.0,Albania,41.3275,19.8189
2025-11-06 07:00:00,12.9,14.7,16.6,41.0,Albania,41.3275,19.8189
2025-11-06 08:00:00,11.7,14.3,19.1,49.0,Albania,41.3275,19.8189
2025-11-06 09:00:00,10.5,15.1,12.6,51.0,Albania,41.3275,19.8189
2025-11-06 10:00:00,11.1,15.7,9.8,59.0,Albania,41.3275,19.8189
2025-11-06 11:00:00,11.7,15.4,8.0,63.0,Albania,41.3275,19.8189
2025-11-06 12:00:00,12.4,14.3,7.1,66.0,Albania,41.3275,19.8189
2025-11-06 13:00:00,13.5,15.2,8.1,69.0,Albania,41.3275,19.8189
2025-11-06 14:00:00,16.3,17.6,9.3,68.0,Albania,41.3275,19.8189
2025-11-06 15:00:00,18.6,22.7,19.8,55.0,Albania,41.3275,19.8189
2025-11-06 16:00:00,24.4,28.1,39.0,37.0,Albania,41.3275,19.8189
2025-11-06 17:00:00,26.2,31.3,40.6,27.0,Albania,41.3275,19.8189
2025-11-06 18:00:00,27.9,35.8,40.1,27.0,Albania,41.3275,19.8189
2025-11-06 19:00:00,30.3,36.5,31.7,26.0,Albania,41.3275,19.8189
2025-11-06 20:00:00,26.5,28.1,22.5,26.0,Albania,41.3275,19.8189
2025-11-06 21:00:00,18.6,22.1,18.7,29.0,Albania,41.3275,19.8189
2025-11-06 22:00:00,17.8,21.6,17.6,36.0,Albania,41.3275,19.8189
2025-11-06 23:00:00,17.4,21.1,12.9,43.0,Albania,41.3275,19.8189
2025-11-07 00:00:00,16.6,20.5,9.4,43.0,Albania,41.3275,19.8189
2025-11-07 01:00:00,15.0,19.3,6.8,49.0,Albania,41.3275,19.8189
2025-11-07 02:00:00,13.5,17.8,5.5,51.0,Albania,41.3275,19.8189
2025-11-07 03:00:00,12.3,16.7,5.7,51.0,Albania,41.3275,19.8189
2025-11-07 04:00:00,11.5,16.1,5.5,50.0,Albania,41.3275,19.8189
2025-11-07 05:00:00,11.2,15.4,6.7,49.0,Albania,41.3275,19.8189
2025-11-07 06:00:00,11.3,15.6,13.4,44.0,Albania,41.3275,19.8189
2025-11-07 07:00:00,10.6,14.6,16.3,49.0,Albania,41.3275,19.8189
2025-11-07 08:00:00,8.0,9.2,9.8,62.0,Albania,41.3275,19.8189
2025-11-07 09:00:00,7.8,9.5,6.8,63.0,Albania,41.3275,19.8189
2025-11-07 10:00:00,7.8,9.0,4.7,71.0,Albania,41.3275,19.8189
2025-11-07 11:00:00,8.7,9.9,4.4,73.0,Albania,41.3275,19.8189
2025-11-07 12:00:00,9.0,10.6,4.4,71.0,Albania,41.3275,19.8189
2025-11-07 13:00:00,10.0,11.4,5.3,71.0,Albania,41.3275,19.8189
2025-11-07 14:00:00,10.9,12.9,6.6,70.0,Albania,41.3275,19.8189
2025-11-07 15:00:00,12.5,14.2,17.2,61.0,Albania,41.3275,19.8189
2025-11-07 16:00:00,14.3,17.6,25.8,53.0,Albania,41.3275,19.8189
2025-11-07 17:00:00,17.7,26.4,39.4,44.0,Albania,41.3275,19.8189
2025-11-07 18:00:00,22.1,28.0,32.5,39.0,Albania,41.3275,19.8189
2025-11-07 19:00:00,22.2,25.7,28.7,38.0,Albania,41.3275,19.8189
2025-11-07 20:00:00,20.0,23.3,20.8,41.0,Albania,41.3275,19.8189
2025-11-07 21:00:00,15.5,18.3,14.1,42.0,Albania,41.3275,19.8189
2025-11-07 22:00:00,11.3,13.7,9.4,47.0,Albania,41.3275,19.8189
2025-11-07 23:00:00,9.3,11.5,5.2,51.0,Albania,41.3275,19.8189
2025-11-08 00:00:00,8.6,9.8,5.7,51.0,Albania,41.3275,19.8189
2025-11-08 01:00:00,7.8,8.2,3.4,48.0,Albania,41.3275,19.8189
2025-11-08 02:00:00,6.9,7.3,3.1,44.0,Albania,41.3275,19.8189
2025-11-08 03:00:00,6.5,6.9,3.0,46.0,Albania,41.3275,19.8189
2025-11-08 04:00:00,6.6,7.0,2.8,50.0,Albania,41.3275,19.8189
2025-11-08 05:00:00,6.8,7.3,2.9,50.0,Albania,41.3275,19.8189
2025-11-08 06:00:00,6.8,7.2,3.7,47.0,Albania,41.3275,19.8189
2025-11-08 07:00:00,4.7,5.4,5.4,55.0,Albania,41.3275,19.8189
2025-11-08 08:00:00,4.3,4.7,5.2,60.0,Albania,41.3275,19.8189
2025-11-08 09:00:00,3.5,4.3,4.4,60.0,Albania,41.3275,19.8189
2025-11-08 10:00:00,3.5,4.5,4.2,62.0,Albania,41.3275,19.8189
2025-11-08 11:00:00,3.8,4.2,3.2,62.0,Albania,41.3275,19.8189
2025-11-08 12:00:00,3.9,4.2,2.8,64.0,Albania,41.3275,19.8189
2025-11-08 13:00:00,4.1,4.5,4.2,65.0,Albania,41.3275,19.8189
2025-11-08 14:00:00,3.7,4.3,5.1,65.0,Albania,41.3275,19.8189
2025-11-08 15:00:00,5.2,6.3,6.8,63.0,Albania,41.3275,19.8189
2025-11-08 16:00:00,5.1,6.9,7.6,60.0,Albania,41.3275,19.8189
2025-11-08 17:00:00,6.6,9.9,10.9,57.0,Albania,41.3275,19.8189
2025-11-08 18:00:00,8.0,9.9,10.6,59.0,Albania,41.3275,19.8189
