time,pm2_5,pm10,nitrogen_dioxide,ozone
2025-11-06 00:00:00,10.3,12.2,23.4,29.0
2025-11-06 01:00:00,9.8,11.5,19.7,29.0
2025-11-06 02:00:00,9.1,11.1,17.5,27.0
2025-11-06 03:00:00,8.1,9.2,17.3,25.0
2025-11-06 04:00:00,8.0,9.3,19.0,22.0
2025-11-06 05:00:00,7.9,9.9,23.4,16.0
2025-11-06 06:00:00,8.4,11.8,35.7,5.0
2025-11-06 07:00:00,12.3,16.7,46.5,1.0
2025-11-06 08:00:00,12.0,15.4,51.2,4.0
2025-11-06 09:00:00,12.0,14.8,41.6,14.0
2025-11-06 10:00:00,10.4,13.2,40.1,21.0
2025-11-06 11:00:00,7.4,10.1,27.9,36.0
2025-11-06 12:00:00,5.9,8.6,21.3,46.0
2025-11-06 13:00:00,5.5,7.1,23.1,52.0
2025-11-06 14:00:00,5.5,7.6,21.4,49.0
2025-11-06 15:00:00,6.5,8.3,28.5,44.0
2025-11-06 16:00:00,9.0,12.5,47.0,26.0
2025-11-06 17:00:00,12.2,16.2,62.1,10.0
2025-11-06 18:00:00,15.7,21.7,77.0,2.0
2025-11-06 19:00:00,19.2,24.6,77.4,2.0
2025-11-06 20:00:00,19.6,26.3,72.0,2.0
2025-11-06 21:00:00,19.9,28.3,64.2,1.0
2025-11-06 22:00:00,19.0,27.2,57.6,2.0
2025-11-06 23:00:00,18.2,25.6,51.2,1.0
2025-11-07 00:00:00,17.1,22.9,44.2,2.0
2025-11-07 01:00:00,15.6,20.2,38.2,6.0
2025-11-07 02:00:00,14.8,18.6,33.3,7.0
2025-11-07 03:00:00,13.9,17.3,30.7,11.0
2025-11-07 04:00:00,13.6,17.4,28.3,12.0
2025-11-07 05:00:00,14.0,18.2,30.3,13.0
2025-11-07 06:00:00,15.6,20.7,39.7,2.0
2025-11-07 07:00:00,18.1,25.8,52.4,1.0
2025-11-07 08:00:00,17.1,22.6,59.5,2.0
2025-11-07 09:00:00,14.4,17.1,39.2,21.0
2025-11-07 10:00:00,12.1,15.2,33.3,29.0
2025-11-07 11:00:00,8.8,11.9,24.9,36.0
